# All times in milliseconds (msec)
# Column 1 = input data size
# Column 2 = avg time linked-list insert front
# Column 3 = avg time cpp-list insert front
# Column 4 = avg time linked-list insert middle
# Column 5 = avg time cpp-list insert middle
# Column 6 = avg time linked-list insert end
# Column 7 = avg time cpp-list insert end
# Column 8 = avg time linked-list update front
# Column 9 = avg time cpp-list update front
# Column 10 = avg time linked-list update middle
# Column 11 = avg time cpp-list update middle
# Column 12 = avg time linked-list update end
# Column 13 = avg time cpp-list update end
# Column 14 = avg time linked-list erase front
# Column 15 = avg time cpp-list erase front
# Column 16 = avg time linked-list erase middle
# Column 17 = avg time cpp-list erase middle
# Column 18 = avg time linked-list erase end
# Column 19 = avg time cpp-list erase end
0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
10000 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
20000 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
30000 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
40000 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
50000 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 0.11 1.00 0.00
60000 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 0.11 1.00 0.00
70000 0.00 0.00 0.11 1.00 0.00 0.00 0.00 0.00 0.11 2.00 1.11 0.00 0.00 0.00 0.00 1.00 1.00 0.00
80000 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 1.00 2.00 2.11 0.00 0.00 0.00 1.00 1.00 2.00 0.00
90000 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 1.00 3.11 2.33 0.00 0.00 0.00 1.00 1.00 2.22 0.00
100000 0.00 0.00 1.00 1.11 0.00 0.00 0.00 0.00 1.00 3.00 3.44 0.00 0.00 0.00 1.11 1.11 3.00 0.00
110000 0.00 0.00 1.11 2.33 0.00 0.00 0.00 0.00 1.33 3.11 3.44 0.00 0.00 0.00 1.00 1.33 3.67 0.00
120000 0.00 0.00 2.00 2.22 0.00 0.00 0.00 0.00 2.11 6.00 11.44 0.00 0.00 0.00 5.22 6.11 12.78 0.00
130000 0.00 0.00 7.22 8.11 0.00 0.00 0.00 0.00 6.56 8.22 6.67 0.00 0.00 0.00 2.00 2.22 5.33 0.00
140000 0.00 0.00 2.44 3.89 0.00 0.00 0.00 0.00 3.11 5.78 7.67 0.00 0.00 0.00 2.44 2.56 6.78 0.00
150000 0.00 0.00 2.67 3.00 0.00 0.00 0.00 0.00 2.78 5.78 8.11 0.00 0.00 0.00 2.33 3.22 12.33 0.00
160000 0.00 0.00 4.33 4.22 0.00 0.00 0.00 0.00 3.78 8.67 12.33 0.00 0.00 0.00 4.44 4.78 12.67 0.00
170000 0.00 0.00 4.44 5.00 0.00 0.00 0.00 0.00 4.56 9.89 14.11 0.00 0.00 0.00 4.44 6.11 13.11 0.00
180000 0.00 0.00 5.22 6.67 0.00 0.00 0.00 0.00 7.00 11.33 15.00 0.00 0.00 0.00 5.22 6.33 19.56 0.00
190000 0.00 0.00 6.22 7.11 0.00 0.00 0.00 0.00 6.11 13.33 19.56 0.00 0.00 0.00 6.33 7.00 18.56 0.00
200000 0.00 0.00 8.11 7.44 0.00 0.00 0.00 0.00 7.11 19.56 23.56 0.00 0.00 0.00 8.11 8.33 21.67 0.00
